year,naics_4,dmarkup
2002,327993,-.029617071
2003,327993,-.0065482855
2004,327993,.019300818
2005,327993,.0069292784
2006,327993,.00020742416
2007,327993,.03991735
2008,327993,-.040391326
2009,327993,.028221965
2010,327993,.014183044
2011,327993,-.0052057505
2012,327993,-.021270752
2013,327993,.018445611
2014,327993,-.0053086281
2015,327993,.036850691
2001,331221,.01266849
2002,331221,-.005689621
2003,331221,.0087972879
2004,331221,.010764837
2005,331221,-.036263704
2006,331221,-.0015343428
2007,331221,.0066279173
2008,331221,.0048997402
2009,331221,.015611053
2010,331221,.0056420565
2011,331221,-.013618231
2012,331221,.014025211
2013,331221,.014787078
2014,331221,-.034540772
2015,331221,.043750644
2001,331315,-.040251493
2002,331315,.040053844
2003,331315,-.0079959631
2004,331315,.026255727
2005,331315,-.0072705746
2006,331315,-.050326467
2007,331315,.068483233
2008,331315,-.024464369
2009,331315,.060442924
2010,331315,-.025163889
2011,331315,-.0078572035
2012,331315,.01623261
2013,331315,-.015362501
2014,331315,.0088264942
2015,331315,-.016469836
2001,331420,.011795402
2002,331420,-.02823019
2003,331420,-.015132546
2004,331420,-.006696701
2005,331420,.0033421516
2006,331420,.0087218285
2007,331420,-.020190835
2008,331420,-.0071564913
2009,331420,.020078063
2010,331420,-.022222519
2011,331420,-.0073821545
2012,331420,.0029677153
2013,331420,.0073238611
2014,331420,-.0099824667
2015,331420,.0085617304
2001,332111,.0087957382
2002,332111,-.010315776
2003,332111,-.0078378916
2004,332111,-.013682127
2005,332111,.024931669
2006,332111,.027546406
2007,332111,-.035638094
2008,332111,-.0069843531
2009,332111,.0084841251
2010,332111,-.004139781
2011,332111,-.0037744045
2012,332111,-.017126083
2013,332111,.0096068382
2014,332111,-.0083221197
2015,332111,.008752346
2001,332216,.047654867
2002,332216,-.026422262
2003,332216,-.028736353
2004,332216,-.0041644573
2005,332216,-.033735633
2006,332216,.0019600391
2007,332216,.078198433
2008,332216,-.0049980879
2009,332216,.016605735
2010,332216,.020162821
2011,332216,.015381813
2012,332216,.0061240196
2013,332216,.028814793
2014,332216,.02729094
2015,332216,.03538537
2001,332312,-.010391474
2002,332312,.027712226
2003,332312,.026828885
2004,332312,.026143551
2005,332312,-.036484241
2006,332312,.00023698807
2007,332312,.010194302
2008,332312,-.0034501553
2009,332312,.0099682808
2010,332312,-.039954782
2011,332312,-.049085617
2012,332312,.049332142
2013,332312,.01039803
2014,332312,-.058520079
2015,332312,-.041935563
2001,332313,.032703042
2002,332313,.035274863
2003,332313,-.019525409
2004,332313,.0045646429
2005,332313,-.048606396
2006,332313,-.038248181
2007,332313,.059384227
2008,332313,-.023662567
2009,332313,.022852063
2010,332313,-.016394496
2011,332313,.00049817562
2012,332313,.024351835
2013,332313,-.003549099
2014,332313,-.000089168549
2015,332313,-.010872483
2001,332321,.057718515
2002,332321,.013305426
2003,332321,-.016874552
2004,332321,.0087767839
2005,332321,-.012809277
2006,332321,-.016829729
2007,332321,-.016543508
2008,332321,-.038284898
2009,332321,.0086762905
2010,332321,-.03036654
2011,332321,.011631131
2012,332321,.015489221
2013,332321,.0092899799
2014,332321,.021342039
2015,332321,.026848316
2001,332410,-.070942163
2002,332410,-.018941164
2003,332410,.0032212734
2004,332410,.08784914
2005,332410,-.062821031
2006,332410,.0014932156
2007,332410,-.00082147121
2008,332410,.079357624
2009,332410,.052860618
2010,332410,-.048323154
2011,332410,-.0020185709
2012,332410,-.016232729
2013,332410,-.026047587
2014,332410,-.0032560825
2015,332410,-.012624264
2001,332431,-.025078893
2002,332431,.018865585
2003,332431,-.0015041828
2004,332431,.012462378
2005,332431,-.0092674494
2006,332431,-.012316227
2007,332431,.013971567
2008,332431,.0072818995
2009,332431,.0097184181
2010,332431,.0073333979
2011,332431,-.0022301674
2012,332431,-.0035188198
2013,332431,.0051487684
2014,332431,.0042988062
2015,332431,.017787218
2001,332613,-.036411285
2002,332613,-.012972593
2003,332613,.06055522
2004,332613,-.034202695
2005,332613,.031320333
2006,332613,.011805773
2007,332613,.05797267
2008,332613,.001095891
2009,332613,-.0468539
2010,332613,.017655253
2011,332613,-.048133135
