year,naics_4,dherfindahl
2004,332993,0
2005,332993,0
2006,332993,0
2007,332993,0
2008,332993,0
2009,332993,0
2010,332993,-1.1920929e-07
2011,332993,1.1920929e-07
2012,332993,0
2013,332993,-1.1920929e-07
2014,332993,1.1920929e-07
2015,332993,-1.1920929e-07
2001,333111,.0050413907
2002,333111,-.000047028065
2003,333111,-.000039517879
2004,333111,.0051832497
2005,333111,.0075790286
2006,333111,-.0060193241
2007,333111,-.0052339137
2008,333111,.005568862
2009,333111,-.0011947453
2010,333111,.0027047992
2011,333111,.0024371445
2012,333111,-.050669014
2013,333111,.050435066
2014,333111,.0024259388
2015,333111,-.0044508874
2001,333120,.03025794
2002,333120,-.019688606
2003,333120,-.0055682063
2004,333120,.011150002
2005,333120,.0062735677
2006,333120,.0028957725
2007,333120,.0059090257
2008,333120,.03950429
2009,333120,-.031703353
2010,333120,-.008742094
2011,333120,.042097807
2012,333120,.050839186
2013,333120,-.024180174
2014,333120,.020786822
2015,333120,-.035845876
2001,333131,-.0028694272
2002,333131,.0010944605
2003,333131,-.018967867
2004,333131,-.025381565
2005,333131,.011636078
2006,333131,-.0056514144
2007,333131,-.11518812
2008,333131,-.013316453
2009,333131,-.086265564
2010,333131,-.014538616
2011,333131,.58892846
2012,333131,-1.1920929e-07
2013,333131,1.1920929e-07
2014,333131,0
2015,333131,0
2001,333132,.0019812509
2002,333132,.01078821
2003,333132,-.0090775266
2004,333132,.0011411682
2005,333132,.019250207
2006,333132,.020012222
2007,333132,.0097005069
2008,333132,.028234214
2009,333132,.040411323
2010,333132,-.015662074
2011,333132,-.021839067
2012,333132,.029182509
2013,333132,.029083163
2014,333132,-.010394469
2015,333132,-.0029611737
2001,333413,-.0069621205
2002,333413,.054081738
2003,333413,.024360299
2004,333413,.013090134
2005,333413,-.0013052225
2006,333413,-.061508715
2007,333413,-.13142335
2008,333413,-.00089603662
2009,333413,-.0065568089
2010,333413,.17185563
2011,333413,.014198482
2012,333413,-.0056981444
2013,333413,.054712296
2014,333413,-.0063317418
2015,333413,-.068365037
2001,333415,.018618837
2002,333415,.0092056394
2003,333415,.0046655089
2004,333415,.0067854375
2005,333415,.019776419
2006,333415,.022020444
2007,333415,.049379364
2008,333415,.013807267
2009,333415,-.024213016
2010,333415,.034683287
2011,333415,.025340438
2012,333415,.0085729659
2013,333415,.0077013075
2014,333415,.00059768558
2015,333415,.0055974126
2001,333514,.17453682
2002,333514,-.00076174736
2003,333514,-.10837722
2004,333514,.040381193
2005,333514,.033276439
2006,333514,-.032939792
2007,333514,.18369496
2008,333514,0
2009,333514,0
2010,333514,0
2011,333514,0
2012,333514,0
2013,333514,0
2014,333514,-1.1920929e-07
2015,333514,1.1920929e-07
2001,333517,-.022785068
2002,333517,.0083646774
2003,333517,.0044130087
2004,333517,-.013535976
2005,333517,-.010437191
2006,333517,-.018308997
2007,333517,-.011199534
2008,333517,.028612196
2009,333517,.025699317
2010,333517,-.03380084
2011,333517,-.0066413879
2012,333517,.023805976
2013,333517,-.006175518
2014,333517,.021919608
2015,333517,-.011835277
2001,333618,-.0035496354
2002,333618,-.024628252
2003,333618,-.065783322
2004,333618,.034865677
2005,333618,-.0085855722
2006,333618,.0088450909
2007,333618,.019185454
2008,333618,.016602486
